,ADM0_A3,net_export,population,final_demand,CONTINENT,CONTINENT_code,demand_capita,net_export_capita,colors
146,KEN,2243.469635768399,55116273.386045925,72801471.25081758,Africa,0,1.3208707116480976,4.0704305605980784e-05,#7fc97f
147,CZE,2500.123917016441,10844928.52745556,162893938.40287226,Europe,2,15.020286947072252,0.00023053392290110558,#fdc086
148,ARG,2618.877745948046,45296274.32179148,567804215.7370619,South America,6,12.535340361622154,5.7816625873976936e-05,#bf5b17
149,LBY,2878.1497587054473,6918753.53670441,22264899.11548369,Africa,0,3.2180506210211193,0.00041599252573988756,#7fc97f
150,MYS,2941.176774716041,35009124.87433841,275582082.251335,Asia,1,7.871721536613899,8.401171938096389e-05,#beaed4
151,BIH,3012.223019418253,3280253.3940957338,18481536.090433005,Europe,2,5.634179397146178,0.0009182897348235597,#fdc086
152,TKM,3212.2262459180492,9951125.607911114,40402265.22878,Asia,1,4.06006986753944,0.0003228002913925978,#beaed4
153,AUT,3382.074122161078,8910214.015179103,374564562.6142667,Europe,2,42.037661719030844,0.0003795727146844626,#fdc086
154,DZA,3462.362340394087,44142465.75369571,183376840.56749293,Africa,0,4.154204742224673,7.843608827185214e-05,#7fc97f
155,NOR,3652.45936947219,5276355.127806626,358524039.33233476,Europe,2,67.94918663508776,0.0006922315274465827,#fdc086
156,KAZ,3996.858740484424,18581398.037766114,124862490.23092954,Asia,1,6.719757575675975,0.00021510000121416768,#beaed4
157,IRL,4285.918856427512,5554424.534577573,226917650.8237391,Europe,2,40.85349425689816,0.0007716224839759149,#fdc086
158,OMN,4615.4028043673625,4033494.2405500524,64926828.138465546,Asia,1,16.09691851936583,0.001144269095011266,#beaed4
159,SWE,5037.852848290435,10354931.918229472,491394904.6960987,Europe,2,47.45515553134794,0.00048651723527235195,#fdc086
160,ISR,5199.585216319403,8551992.29441714,312756933.25873935,Asia,1,36.571236560036596,0.000607996948233193,#beaed4
161,BEL,5251.428738729264,11762124.423242152,463422929.03909904,Europe,2,39.39959418584007,0.00044646940890646886,#fdc086
162,UZB,5252.430575293747,33101538.034843106,75304730.4683166,Asia,1,2.2749616766764693,0.00015867633007762272,#beaed4
163,NLD,5271.262915575807,17478902.471320327,694536358.1996514,Europe,2,39.73569618225504,0.00030157859878358965,#fdc086
164,QAT,6084.601781704716,6744196.737563003,146120332.9741868,Asia,1,21.666083991936894,0.0009021981443417041,#beaed4
165,CHE,6930.402988903728,8760603.726424845,586060417.5333551,Europe,2,66.89726368578975,0.0007910873731223988,#fdc086
166,SGP,7118.285235627963,4436375.266453107,228504699.8346654,Asia,1,51.507071902272926,0.0016045273017039087,#beaed4
167,ITA,7397.254124438572,62099119.1734922,1786820714.1562636,Europe,2,28.773688547244173,0.00011912011350389949,#fdc086
168,ESP,7717.258195106497,53262246.213412285,1170233841.0995734,Europe,2,21.97116952992662,0.00014489171493415476,#fdc086
169,IRQ,8410.266390468809,44380745.79352259,146652335.83904085,Asia,1,3.3044135067339244,0.00018950259262421622,#beaed4
170,SRB,8747.359684336147,7207824.682464472,40636441.29091942,Europe,2,5.63782321034828,0.0012135921820652944,#fdc086
171,AUS,9338.443004567685,21481692.969437174,1279866792.196296,Oceania,4,59.57941927655383,0.0004347163427879658,#386cb0
172,KOR,10186.161869090487,52307152.348272875,1384341868.3371418,Asia,1,26.465632445824614,0.00019473745772411222,#beaed4
173,KWT,11295.25447531262,3639122.521693916,99818271.11254217,Asia,1,27.429214190370097,0.003103840117494856,#beaed4
174,HKG,12847.541055415379,7802933.986956937,318010351.5496425,Asia,1,40.75522772347113,0.0016465013130818227,#beaed4
175,ARE,14872.255934381075,8984043.14446557,263465137.58676726,Asia,1,29.325898523658516,0.0016554078932204167,#beaed4
176,CAN,15723.436368511231,37341553.20510497,1569960117.6124034,North America,3,42.043246272835106,0.00042107076484332415,#a6cee3
177,VEN,16931.148078617796,32290327.555760123,387381027.1377141,South America,6,11.99681317784003,0.0005243411684003659,#bf5b17
178,IRN,17022.95838387282,80448963.42585444,391201626.4320962,Asia,1,4.862730478717057,0.00021159947448623105,#beaed4
179,PAK,17760.819761533945,230133563.82818946,288303490.3817909,Asia,1,1.252765939856688,7.717613835239444e-05,#beaed4
180,DEU,19454.013600939295,78500476.74146684,3172201307.44527,Europe,2,40.40996232280965,0.0002478203242638776,#fdc086
181,JPN,20118.13699463803,128829642.50616169,4716597740.307834,Asia,1,36.61112185483436,0.00015616077638091572,#beaed4
182,FRA,25715.86831993583,70377496.19436277,2467952681.6497245,Europe,2,35.06735554834085,0.00036539902256419956,#fdc086
183,TUR,26797.883573515115,81192448.9063638,810738613.9716173,Asia,1,9.98539426870363,0.0003300538896716874,#beaed4
184,GBR,28888.35031200623,67870154.6076861,2739457652.4355235,Europe,2,40.36321514619458,0.00042564143958403046,#fdc086
185,SAU,37814.67498752351,36856019.03385983,638018835.6854972,Asia,1,17.31111640406268,0.001026010838359481,#beaed4
186,USA,145392.29619144928,345311178.86014754,19592997213.328262,North America,3,56.74011851572146,0.00042104717452641103,#a6cee3
